institution,slug,country,continent,repository_code,archive_type,filmoteca_vasca_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1940/vuelta_al_pais_vasco_8685_41,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/2,ok,200,0,0,página oficial sem vídeo Vimeo detectado,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/25-aniversario-del-ferrocarril-del-urola-zumarraga-zumaia-22-de-febrero-de-1951,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/acrobacias_en_bicicleta_9897_20,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/carrera_ciclista_1578_5,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/carrera_ciclista_3812_4,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/carrera_ciclista_7108_6,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/carrera_ciclista_7410_7,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/carrera_ciclista_8750_12,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/carrera_ciclista_9348_23,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/carrera_ciclista_9897_19,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/san-sebastian-novia-de-espana,ok,200,1,1,,
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,https://filmoteka.eus/es/coleccion/multimedia/decada-1950/v_gran_premio_bicicleta_eibarresa_3705,ok,200,1,1,,
