institution,slug,country,continent,repository_code,archive_type,dr_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432556?page_size=50&page=3,ok,200,24,0,"Lista DRTV/Gensyn 432556, página 3/4; coleção: Gensyn: 1980'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432556?page_size=50&page=4,ok,200,4,0,"Lista DRTV/Gensyn 432556, página 4/4; coleção: Gensyn: 1980'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432550?page_size=50&page=1,ok,200,13,0,"Lista DRTV/Gensyn 432550, página 1/5; coleção: Gensyn: 1990'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432550?page_size=50&page=2,ok,200,23,0,"Lista DRTV/Gensyn 432550, página 2/5; coleção: Gensyn: 1990'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432550?page_size=50&page=3,ok,200,19,0,"Lista DRTV/Gensyn 432550, página 3/5; coleção: Gensyn: 1990'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432550?page_size=50&page=4,ok,200,23,0,"Lista DRTV/Gensyn 432550, página 4/5; coleção: Gensyn: 1990'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/432550?page_size=50&page=5,ok,200,3,0,"Lista DRTV/Gensyn 432550, página 5/5; coleção: Gensyn: 1990'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/436798?page_size=50&page=1,ok,200,12,0,"Lista DRTV/Gensyn 436798, página 1/4; coleção: Gensyn: 00'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/436798?page_size=50&page=2,ok,200,11,0,"Lista DRTV/Gensyn 436798, página 2/4; coleção: Gensyn: 00'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/436798?page_size=50&page=3,ok,200,11,0,"Lista DRTV/Gensyn 436798, página 3/4; coleção: Gensyn: 00'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/lists/436798?page_size=50&page=4,ok,200,1,0,"Lista DRTV/Gensyn 436798, página 4/4; coleção: Gensyn: 00'erne - Se programmer fra DR's arkiv her.",
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fserie%2Fteam-easy-on_325201,ok,200,0,0,Página de série DRTV/Gensyn `/serie/team-easy-on_325201` sondada para materializar episódios.,
