institution,slug,country,continent,repository_code,archive_type,iam_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/chars-fleuris/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/roulez-jeunesse/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/cours-de-natation-au-monte-carlo-beach/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/a-lheure-du-grand-prix/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/ettore-scola-a-propos-du-neo-realisme/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/roberto-rossellini-du-cinema-et-des-hommes/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/ciao-claudina/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/la-villa-sazia/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/plein-phare-sur-la-voiture-de-demain/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
Institut audiovisuel de Monaco,institut-audiovisuel-de-monaco,Monaco,Europe,MC-IAM,Institutional audiovisual archive,https://institut-audiovisuel.mc/,True,True,https://institut-audiovisuel.mc/wp-json/wp/v2/medias,https://institut-audiovisuel.mc/medias/sacha-guitry-et-la-critique/,ok,200,1,1,Página pública `/medias/`; player HTML verificado sem baixar mídia.,
