institution,slug,country,continent,repository_code,archive_type,euscreen_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,Screen Archive South East,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_BB21422B7AF97DE35FD4D9258E73CDD7,Movies and Memories: Wartime [archive footage with music],Screen Archive South East,"A compilation of archive films from the Screen Archive South East collection and set to music composed for the archive. This compilation based on the theme of the Second World War features films from across Surrey, West Sussex and the South East of England.",,Movies and Memories: Wartime [archive footage with music],,Coleções e serviços,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,RTÉ,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_52CB0518970C47D4823664A4EDA92840,Music for Halloween,RTÉ,"Costumed group The Vizards provide music and dance for Halloween in Ballinaclash, Wicklow.",,Music for Halloween,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,Deutsche Welle,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_7937500635834A45AB8F3A4C95E1466F,My piece of art: Wedding Dress,Deutsche Welle,How did a bride in the 18th century look like?,,My piece of art: Wedding Dress,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,RTBF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_27A531D4E7F049CE978525B6F352E3B1,Namur: Motocross at the Citadelle,RTBF,The winner was Swedish Bill Nilsson.,,Namur: Motocross at the Citadelle,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_11857ECA4F7B420A9063F8D21064D714,National Day : France on parade,INA,"In 1968, the celebrations on 14 July were a little different. This report combines pictures of military parades from various eras, a look back at the events of May 68, and a look at the wider perspective, with people leaving for their holidays and holidaymakers on the beach.",,National Day : France on parade,,Exposições e eventos,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,BBC,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_20D5B6E50A794B46864BB4E894C95A01,News 04/12/1998,BBC,Newsreader Martyn Lewis introduces Denis Mahoney report about a new invention which should put an end to the misery of finding clothes that should fit.,,News 04/12/1998,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,RTBF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_530D217E56D74B4C84D7DA1F53AA9301,News bulletin 18/4/1966 (Joan Baez),RTBF,Brussels : Interview in English with American singer Joan Baez on non-violence and on the fact she refused to pay all her taxes. Extract of the song “We shall overcome”.,,News bulletin 18/4/1966 (Joan Baez),,"Memória, narrativa e testemunho",Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_733B96D724F4493390F25B49301A4831,Nice Carnival,INA,"For six years, Nice must have forgotten its carnival. Today all the people of Nice came to renew their tradition. Her Majesty the Carnival was warmly welcomed on Place Massena.",,Nice Carnival,,História e pesquisa,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,RTBF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_C8664133069B4AC7B5AC68549FD44510,Night cargo 09/03/1988 (Red Hot Chili Peppers),RTBF,"The members of the American music band Red Hot Chili Peppers are interviewed about their career and the fact of being ""yuppies"". Concert extracts.",,Night cargo 09/03/1988 (Red Hot Chili Peppers),,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,RTBF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_4FC6F1EC678542339595E22401D26927,Night cargo 11/12/1985 (Tom Waits),RTBF,"Tom Waits is interviewed about his life, mentionning his sister's death and his admiration for Francis Ford Coppola.",,Night cargo 11/12/1985 (Tom Waits),,"Memória, narrativa e testemunho",Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,RTBF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_0F083C19F38C4EAE89A20EC6AA042428,Night cargo 16/03/1988 (Léonard Cohen),RTBF,"Canadian singer, songwriter and poet Leonard Cohen is interviewed about his youth as well as poetry and music. He also sings ""Take this waltz"".",,Night cargo 16/03/1988 (Léonard Cohen),,Música e performance,Agregador audiovisual europeu
