institution,slug,country,continent,repository_code,archive_type,bnfa_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%A1%D1%82%D0%B0%D1%80%20%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%201925-1930/bnfa::475c54eb68555b84d6ad198651e5a922,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%20%D0%BA%D0%B8%D0%BD%D0%BE%20%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2058/bnfa::5d647d7e8e80f80dd7483f4cfe63c71b,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9F%D0%A0%D0%95%D0%93%D0%9B%D0%95%D0%94%D0%AA%201/bnfa::5b87ffb1003b62800c29654bf1ae5b85,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%20%D0%BA%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2065/bnfa::416b82c07ad4465b62dbe1d207221faa,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9F%D0%A0%D0%95%D0%93%D0%9B%D0%95%D0%94%D0%AA%20147/bnfa::b8901a7178ed12660b460d8ed71a3eef,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2091/bnfa::e75d1d9234b4f77e59654a2b8d5a8e36,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9F%D0%A0%D0%95%D0%93%D0%9B%D0%95%D0%94%D0%AA%2045/bnfa::50859bf9b9ef1eda73f6db1f2746afa9,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2025/bnfa::93198c11c92feb41033500bc604d06c5,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9F%D0%A0%D0%95%D0%93%D0%9B%D0%95%D0%94%D0%AA%2059/bnfa::dfddd8800a15046c9168b5a0b95096d3,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/detail/%D0%9E%D1%82%D0%B5%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%20%D0%BA%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%20107/bnfa::430f9eb79962d6cb14bef1fb34519bb7,ok,200,1,1,"Ficha pública de vídeo da BNFA no EFG, com metadados audiovisuais e shell de player quando sinalizado.",
