institution,slug,country,continent,repository_code,ape_detail_url,archive_type,external_url,website_available,content_available_in_ape
"Opplandsarkivet, Maihaugen",opplandsarkivet-maihaugen,Norway,Europe,NO-00000028305,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028305,Specialised non-governmental archives and archives of other cultural (heritage) institutions,http://maihaugen.no/no/Opplandsarkivet/,True,True
Oslo byarkiv,oslo-byarkiv,Norway,Europe,NO-00000028306,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028306,,https://www.oslo.kommune.no/natur-kultur-og-fritid/byarkivet/,True,True
OsloMet – storbyuniversitetet,oslomet-storbyuniversitetet,Norway,Europe,NO-00000028831,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028831,,https://www.oslomet.no/Kontakt-oss,True,True
Østfold Interkommunale Arkivselskap IKS,stfold-interkommunale-arkivselskap-iks,Norway,Europe,NO-00000028323,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028323,County/local authority archives,http://www.ika-ostfold.no/,True,True
Østfoldmuseene,stfoldmuseene,Norway,Europe,NO-00000028840,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028840,,https://ostfoldmuseene.no,True,True
Privatarkiv i Buskerud,privatarkiv-i-buskerud,Norway,Europe,NO-00000028838,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028838,,https://www.vestfoldmuseene.no/vestfoldarkivet/,True,True
Rælingen kommune,r-lingen-kommune,Norway,Europe,NO-00000028311,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028311,County/local authority archives,https://www.ralingen.kommune.no/,True,True
Randsfjordmuseene AS,randsfjordmuseene-as,Norway,Europe,NO-00000028307,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028307,Municipal archives,http://www.randsfjordmuseene.no/,True,True
Riksantikvaren,riksantikvaren,Norway,Europe,NO-00000028308,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028308,Specialised governmental archives,http://www.riksantikvaren.no/,True,True
Risør Kystkultursenter,ris-r-kystkultursenter,Norway,Europe,NO-00000028827,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028827,,http://risorkystkultursenter.no/,True,True
Romsdalsmuseet,romsdalsmuseet,Norway,Europe,NO-00000028309,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028309,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://www.romsdalsmuseet.no/,True,True
Ryfylkemuseet / Sauda lokalarkiv,ryfylkemuseet-sauda-lokalarkiv,Norway,Europe,NO-00000028310,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=NO-00000028310,Specialised non-governmental archives and archives of other cultural (heritage) institutions,https://ryfylkemuseet.no/,True,True
